title,description,link,pubDate,BBC polarity,BBC subjectivity
Mick Mulvaney: Trump replaces White House chief of staff,"Trump ally Mark Meadows takes over the job, as Mr Mulvaney is sent to Northern Ireland as an envoy.",https://www.bbc.co.uk/news/world-us-canada-51779902,"Sat, 07 Mar 2020 13:34:07 GMT",0,0
South by Southwest festival cancelled over coronavirus,"The world-famous music event in Austin, Texas is called off for the first time in its 34-year history.",https://www.bbc.co.uk/news/world-us-canada-51778423,"Sat, 07 Mar 2020 02:41:35 GMT",0,0
Woody Allen book pulped after walkout at publisher,"Hachette staff protested over the book deal for the director, who has been dogged by abuse claims.",https://www.bbc.co.uk/news/world-us-canada-51777650,"Sat, 07 Mar 2020 12:00:14 GMT",0,0
Toronto teen home safe after brazen abduction,He is believed to be a victim of reprisal over his brother's alleged involvement in a drug heist.,https://www.bbc.co.uk/news/world-us-canada-51773584,"Fri, 06 Mar 2020 16:40:18 GMT",0,0
Bill Clinton claims Monica Lewinsky affair was to 'help anxieties',The former president was impeached in 1998 for lying to investigators about the affair.,https://www.bbc.co.uk/news/world-us-canada-51769756,"Fri, 06 Mar 2020 16:56:35 GMT",0.25,0.25
Blind man fails citizenship test after being denied Braille,"US immigration agents denied a blind man the use of Braille, causing him to fail the test.",https://www.bbc.co.uk/news/world-us-canada-51760448,"Fri, 06 Mar 2020 17:28:42 GMT",0,0
Nathaniel Woods executed in Alabama despite campaign to save him,High-profile figures fail to stop the execution of Nathaniel Woods over the killing of policemen.,https://www.bbc.co.uk/news/world-us-canada-51766516,"Fri, 06 Mar 2020 11:43:54 GMT",-0.5,0.483333333
US orders deportation of former Nazi camp guard to Germany,"Friedrich Karl Berger, now 94, is still receiving a pension in Germany for his ""wartime service"".",https://www.bbc.co.uk/news/world-us-canada-51774404,"Fri, 06 Mar 2020 16:27:18 GMT",0,0
Bernie Sanders: How much would his spending plans cost?,The US Democratic frontrunner has been criticised over his spending plans - so how much would they cost?,https://www.bbc.co.uk/news/51662741,"Fri, 06 Mar 2020 19:31:11 GMT",0,0
Coronavirus: 'The positive things we learnt from quarantine',Cheryl and Paul Molesky kept a video diary charting the highs and lows during a month on lockdown.,https://www.bbc.co.uk/news/world-us-canada-51684181,"Sat, 07 Mar 2020 09:50:59 GMT",0.2,0.2
AEW wrestling: Singing for my brother's hero 17 years after he died,How Liz Rose made her brother proud 17 years after he died by performing Chris Jericho's entrance.,https://www.bbc.co.uk/news/world-us-canada-51682017,"Fri, 06 Mar 2020 19:14:34 GMT",0.227272727,0.545454545
