NYTpolarity,NYTsubjectivity
0.0,0.0
0.022222222222222213,0.24444444444444446
-0.15555555555555559,0.2888888888888889
0.0,0.06666666666666667
-0.7,0.9
0.2,0.1
0.0,0.0
0.0,0.0
-0.2,0.6
0.0,0.0
0.1,0.4
0.35,0.44999999999999996
0.0,0.0
0.0,0.0
0.4,0.5
0.4,1.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.2,0.4
-0.6,0.9
0.0,0.0
0.0,0.0
0.0,0.1
0.0,0.0
0.037500000000000006,0.1625
0.0,0.0
0.0,0.0
-0.5,0.4833333333333333
0.0,0.0
-0.25,0.5
0.4,0.6
-1.0,1.0
0.2,0.2
0.5,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.2,0.05
0.425,0.65
0.0,0.0
-0.16666666666666666,0.43333333333333335
0.0,0.0
0.0,0.0
0.0,0.0
0.3,0.2
-0.4,0.4
0.5,0.5
0.0,0.0
