title,description,link,pubDate,NYTpolarity,NYTsubjectivity,Word,Count
"Italy Locks Down Northern Region, and U.S. Coronavirus Cases Pass 400",Italy announced a plan to restrict the movement of a fourth of its population. New York declared a state of emergency. Here’s the latest.,https://www.nytimes.com/2020/03/08/world/coronavirus-news.html,"Sun, 08 Mar 2020 05:19:54 +0000",0.022222222,0.244444444,coronavirus,5
"Inside Trump Administration, Debate Raged Over What to Tell Public","The administration’s response to the coronavirus has repeatedly matched public health experts against a hesitant White House, where worry of panic dominates.",https://www.nytimes.com/2020/03/07/us/politics/trump-coronavirus.html,"Sun, 08 Mar 2020 05:36:04 +0000",-0.155555556,0.288888889,political,2
"China May Be Beating the Coronavirus, at a Painful Cost",Beijing says its heavy-handed measures are working. Can other countries battling the outbreak learn from its efforts — or is the cure worse than the disease?,https://www.nytimes.com/2020/03/07/world/asia/china-coronavirus-cost.html,"Sun, 08 Mar 2020 05:39:01 +0000",0,0.066666667,market,2
"Anyone Who Wants a Coronavirus Test Can Have One, Trump Says. Not Quite, Says His Administration.","Key officials in recent days have corrected or clarified the president, who has sought to project calm as the coronavirus continues to spread in the United States.",https://www.nytimes.com/2020/03/07/us/politics/trump-coronavirus-messaging.html,"Sun, 08 Mar 2020 01:20:12 +0000",-0.7,0.9,officials,2
Erik Prince Recruits Ex-Spies to Help Infiltrate Liberal Groups,"Mr. Prince, a contractor close to the Trump administration, contacted veteran spies for operations by Project Veritas, the conservative group known for conducting stings on news organizations and other groups.",https://www.nytimes.com/2020/03/07/us/politics/erik-prince-project-veritas.html,"Sat, 07 Mar 2020 17:41:38 +0000",0.2,0.1,spread,2
Fourth Time’s the Charm? Mark Meadows Takes Over Trump’s White House,"Mr. Meadows, a retiring Republican congressman from North Carolina and one of President Trump’s most ardent defenders, becomes the latest chief of staff for a mercurial president who dispatched the previous three after they fell out of favor.",https://www.nytimes.com/2020/03/07/us/politics/mark-meadows-trump-chief-of-staff.html,"Sun, 08 Mar 2020 02:09:01 +0000",-0.2,0.6,,
"Modern Love Podcast: Lesley Manville Reads ‘The Kindness, and Xanax, of Strangers’",The “Ordinary Love” actress reads an essay about breast cancer and the unexpected need for community.,https://www.nytimes.com/2020/03/04/style/modern-love-podcast-lesley-manville.html,"Fri, 06 Mar 2020 21:07:48 +0000",0.1,0.4,,
Sign Up: ‘Coronavirus Briefing’,An informed guide to the global outbreak.,https://www.nytimes.com/newsletters/coronavirus-briefing,"Fri, 06 Mar 2020 21:07:50 +0000",0.35,0.45,,
I’m Going to Die. I May as Well Be Cheerful About It.,"While death is inevitable, our attitude about it is not.",https://www.nytimes.com/2020/03/06/opinion/mortality-death.html,"Fri, 06 Mar 2020 23:16:08 +0000",0.4,0.5,,
"Trump, His Eye on the Border, Overlooked the Coronavirus Threat",His insistence that the danger was overseas and could be kept out led officials to downplay the disease’s spread and the need for tests.,https://www.nytimes.com/2020/03/07/opinion/trump-coronavirus-us.html,"Sat, 07 Mar 2020 22:04:28 +0000",0.4,1,,
Trump’s Crazy Fantasy World,"In what The Spectator calls “the Year of the Drunken Uncle,” three old guys vie for the presidency amid coronavirus fears and a careering stock market.",https://www.nytimes.com/2020/03/07/opinion/trump-biden-coronavirus.html,"Sat, 07 Mar 2020 19:30:04 +0000",-0.2,0.4,,
