title,description,link
Coronavirus: US records highest death toll in single day,"More than 1,736 deaths were recorded on Tuesday with some states yet to share their totals.",https://www.bbc.co.uk/news/world-us-canada-52209954
Coronavirus: Wisconsin defies its own lockdown to vote,Wisconsin is the first state to hold a major election despite a state-wide stay home order.,https://www.bbc.co.uk/news/world-us-canada-52208440
Coronavirus: Twitter boss pledges $1bn for relief effort,"Jack Dorsey said he would give 28% of his wealth towards efforts to ""disarm"" the pandemic.",https://www.bbc.co.uk/news/technology-52209690
Coronavirus warship row: Acting US Navy secretary resigns,The acting Navy chief was under fire for ousting a captain who pleaded for help fighting Covid-19.,https://www.bbc.co.uk/news/world-us-canada-52209105
Coronavirus: Why more rats are being spotted during quarantine,Hungry rats unable to feed off restaurant leftovers are coming on to the streets and nearer homes.,https://www.bbc.co.uk/news/world-us-canada-52177587
Maeve Kennedy McKean's body is recovered after canoe search,Maeve Kennedy McKean and her son were last seen in a canoe off Chesapeake Bay in Maryland last week.,https://www.bbc.co.uk/news/world-us-canada-52195939
Coronavirus wreaks havoc in African American neighbourhoods,"Black Chicagoans account for 70% of coronavirus deaths, despite making up 30% of the population.",https://www.bbc.co.uk/news/world-us-canada-52194018
"Coronavirus: With Wrestlemania, the show must go on no matter what","The biggest event in wrestling went ahead at the weekend, undaunted by all mainstream sport being cancelled.",https://www.bbc.co.uk/news/world-us-canada-52203976
How the coronavirus led to the highest-ever spike in US gun sales,More than 2m guns were purchased in March and the FBI conducted 3.7m background checks.,https://www.bbc.co.uk/news/world-us-canada-52189349
Coronavirus: Helping frontline medics with a place to stay,Doctors and nurses treating coronavirus patients have to self-isolate away from family between shifts.,https://www.bbc.co.uk/news/world-us-canada-52208396
Coronavirus: Why healthcare workers are at risk of moral injury,War veterans can experience trauma known as moral injury - now health workers are at risk too.,https://www.bbc.co.uk/news/world-us-canada-52144859
Coronavirus: 'Pregnancy during a pandemic is terrifying',"Carly was already a high-risk pregnancy. Now, she fears the toll of Covid-19 on hospitals could put her more at risk.",https://www.bbc.co.uk/news/world-us-canada-52157823
Coronavirus: Pastor who decried 'hysteria' dies after attending Mardi Gras,A preacher who said coronavirus was overhyped has died after catching the virus at Mardi Gras.,https://www.bbc.co.uk/news/world-us-canada-52157824
Coronavirus: US tourist towns telling visitors to stay away,"Its state slogan is ""live free or die"" - but locals now fear being overwhelmed by tourists.",https://www.bbc.co.uk/news/world-us-canada-52126464
How Trump's attitude toward coronavirus has shifted,"Since the start of the year, how has President Trump's attitude towards coronavirus changed?",https://www.bbc.co.uk/news/world-us-canada-52145270
Coronavirus: The US governor who saw it coming early,Ohio's Mike DeWine began preparing for the virus before a single case was reported in his state.,https://www.bbc.co.uk/news/world-us-canada-52113186
"Coronavirus: US death rates v China, Italy and South Korea",The US has seen its virus cases spike dramatically and these graphs show what could be in store.,https://www.bbc.co.uk/news/world-us-canada-52066105
Coronavirus: A snapshot of American life under lockdown,How much your life has changed because of the coronavirus depends a lot on where in the US you live.,https://www.bbc.co.uk/news/world-us-canada-52019510
Coronavirus: Why China's claims of success raise eyebrows,"China has claimed its first day without a virus death, but faces lingering scepticism over its data.",https://www.bbc.co.uk/news/world-asia-china-52194356
Coronavirus: Why has Turkmenistan reported no cases?,"While many countries have imposed major restrictions, life continues as normal in Turkmenistan.",https://www.bbc.co.uk/news/world-asia-52186521
