title,description,Polarity,,Subjectivity
Coronavirus: Donald Trump wears face mask for the first time,The US president previously said he could not see himself wearing a mask in public.,0,,0
Daniel Lewis Lee: First US federal execution to go ahead after 17 years,The execution of convicted murderer Daniel Lewis Lee had been blocked on Friday by a federal judge.,0.25,,0.333333333
Roger Stone: Robert Mueller defends indictment over Russia probe,Ex-US special counsel Robert Mueller intervenes after President Trump commutes an aide's jail term.,0.25,,0.333333333
Walt Disney World reopens in Florida amid Covid-19 surge,"Visitors are required to wear masks, socially distance and have temperature checks on arrival.",0,,0
Goya Foods: Hispanic brand faces boycott for praising Trump,Democrats including Alexandria Ocasio-Cortez have urged customers to stop buying Goya Foods products.,0,,0
Jada Pinkett Smith tells Will Smith of her 'relationship',Jada Pinkett Smith and Will Smith were talking on her Facebook chat show Red Table Talk.,0,,0
TikTok: Amazon says email asking staff to remove app 'sent in error',"Earlier, the company had asked staff to remove the TikTok app from phones over ""security risks.""",0,,0
Ghislaine Maxwell requests bail due to 'significant' coronavirus risk,The British socialite denies grooming underage girls for the late paedophile Jeffrey Epstein.,0,,0
Three generations on the impact of George Floyd's death,Three generations of one family discuss their experiences of racism and whether things are changing.,0.125,,0.625
This police-free protest zone was dismantled - but was it the end?,"On 8 June protesters set up a police-free protest zone in the city. Less than a month later, it had been dismantled.",0,,0
Coronavirus: The chaplains toiling on the frontlines,minnesota Attorney General Keith Ellison upgraded charges for officers involved in George Floyd case.,0,,0
Coronavirus: How bad is the crisis in US care homes?,"America's elderly are dying at an alarming rate in care homes, but the picture remains incomplete.",0,,0
What are the questions for Ghislaine Maxwell?,The arrest of Jeffrey Epstein's former girlfriend has reignited interest in her and her alleged role in Epstein's abuse of minors.,-0.7,,0.666666667
Trump and Supreme Court: How has it changed America?,This court has been billed the most conservative in modern history. But does it vote that way?,0,,0
Black Lives Matter: From social media post to global movement,"Black Lives Matter has sparked a hashtag, grass-roots organisations, and a collective of activists.",0,,0
US student visas: 'A lot of people I know are scared for the future',"The US said some visas could be revoked because of coronavirus, leaving students confused and uncertain.",-0.044444444,,0.166666667
Cancel culture: What unites young people against Obama and Trump,"The push to bring down memorials has renewed criticisms of ""cancel culture"" from current and past presidents.",0,,0.125
Kanye West: Presidential hopeful wants to run the White House like Wakanda,The rapper and presidential hopeful wants to run the White House like Wakanda.,0.1,,0.4
Coronavirus: Disease detectives track an invisible culprit,They're working frantically to stop the pandemic spreading. And sometimes that means some awkward conversations.,0.1,,0.05
Viewpoint: What Donald Trump gets wrong about Somalia,"Somalia has been caught up in the US election campaign thanks to Donald Trump, writes Ismail Einashe.",0,,0
'I left her as a baby - 16 years later she saved my life',"When Matjames Metson hit rock bottom after Hurricane Katrina, it was the daughter he hadn't seen for 16 years who turned his life around.",-0.5,,0.9
Coronavirus: What makes a gathering a ‘superspreader’ event?,How can a two-hour choir practice lead to 53 Covid-19 infections? We ask an expert.,0,,0
Coronavirus: What's behind alarming new US outbreaks?,"Cases are rising in Texas, Florida, Arizona and California - here's a look at the data and the theories.",0,,0
"Trump, Russia and the Taliban: The story in 300 words",It's a complicated story about bounties and back channels. Let's break it down.,-0.121212121,,0.584848485
The American pioneer who could not change Nascar,Wendell Scott was a pioneering Nascar driver whose legacy has touched only the fringes of a sport now seeking transformation.,0,,0
Being black in business is being 'on your own',The coronavirus pandemic is expected to widen America's longstanding economic disparities.,0,,0
Coronavirus: How coming-of-age rituals were interrupted - and reinvented,How coming-of-age rituals were interrupted - and reinvented - amid the coronavirus pandemic.,0.216666667,,0.716666667
Black America Speaks: What black radio makes of this moment,"""Hunted"" because of my race: The BBC tunes in to black-owned radio stations amid national upheaval.",0,,0
Black Lives Matter: Can viral videos stop police brutality?,Do viral videos like the one captured of George Floyd's death actually reduce police abuse?,-0.166666667,,0.433333333
George Floyd death: What US police officers think of protests,"Some think change needs to come from the top, others say they are doing a tough job and under attack.",-0.166666667,,0.433333333
Young skater goes viral performing at Black Lives Matter Plaza,A video of Kaitlyn Saunders skating on the square opposite the White House has amassed 5 million views.,0,,0
'Speak and be heard': Why black media matters,"Sara Lomax-Reese owns WURD, one of a handful of black-owned and operated radio stations in the US.",-0.033333333,,0.416666667
'My best friend was killed in the protests - I'm marching for him',"19-year-old Diamond wants ""justice"" for her friend, who died days after George Floyd.",-0.166666667,,0.433333333
One thing Americans find hard to talk about,A US psychologist who specialises in conflict resolution overseas is now turning her attention to race at home.,0.4,,0.15
George Floyd death: 'The same happened to my son',An immigrant community divided by the anti-racist protests rocking the US.,-0.291666667,,0.541666667
