title,description,link,pubDate
Trump Attacks W.H.O. and Ousts Watchdog for Pandemic Fund,"New York and New Jersey recorded one-day highs for deaths, and voters in Wisconsin cast ballots while trying to exercise proper social distancing.",https://www.nytimes.com/2020/04/07/world/coronavirus-updates-news-live.html,"Wed, 08 Apr 2020 04:10:28 +0000"
"Wuhan, Where Coronavirus Emerged, Lifts Lockdown After 11 Weeks: Live Coverage","Prime Minister Boris Johnson spent a second night in intensive care, and President Trump threatened to cut funding for the World Health Organization.",https://www.nytimes.com/2020/04/08/world/coronavirus-news.html,"Wed, 08 Apr 2020 04:50:33 +0000"
"N.Y. Virus Deaths Hit New High, but Hospitalizations Slow",New Jersey and Connecticut also had one-day highs in coronavirus-related deaths. Officials in the three states still saw reason for hope.,https://www.nytimes.com/2020/04/07/nyregion/coronavirus-new-york-update.html,"Wed, 08 Apr 2020 02:35:04 +0000"
Their Grandmother Left by Ambulance. Then They Could Not Find Her.,"“I believe she passed away,” said a relative who led the family’s increasingly frantic search. “But where?”",https://www.nytimes.com/2020/04/07/nyregion/jamaica-hospital-queens-maria-correa-coronavirus.html,"Tue, 07 Apr 2020 21:14:51 +0000"
New Battle for Those on Coronavirus Front Lines: Child Custody,"Doctors, firefighters and others who risk exposure to Covid-19 are being taken to court by ex-spouses who want to keep them away from their children.",https://www.nytimes.com/2020/04/07/us/coronavirus-child-custody.html,"Tue, 07 Apr 2020 23:39:51 +0000"
Free Access to Coronavirus Coverage,The Times is providing free access on the coronavirus crisis. Start here for a guide to all our coverage.,https://www.nytimes.com/news-event/coronavirus,"Wed, 08 Apr 2020 04:38:37 +0000"
Black Americans Face Alarming Rates of Coronavirus Infection in Some States,"Data on race and the coronavirus is too limited to draw sweeping conclusions, experts say, but disparate rates of sickness — and death — have emerged in some places.",https://www.nytimes.com/2020/04/07/us/coronavirus-race.html,"Wed, 08 Apr 2020 00:12:51 +0000"
"With Demand Soaring, Congress Weighs Adding $250 Billion in Small-Business Aid","Less than two weeks after enactment of a $2 trillion stimulus plan, the Trump administration is asking for a fresh infusion of funds to help businesses survive the economic damage of the coronavirus.",https://www.nytimes.com/2020/04/07/us/politics/coronavirus-congress-small-businesses.html,"Tue, 07 Apr 2020 23:21:26 +0000"
Small Business Aid Program Stretches Agency to Its Limits,"The Small Business Administration is not equipped to handle the demand for emergency loans. It is trying to fix aging systems, but the delays are rattling banks and small businesses.",https://www.nytimes.com/2020/04/07/business/coronavirus-ppp-small-business-aid.html,"Tue, 07 Apr 2020 20:52:54 +0000"
"Voting in Wisconsin During a Pandemic: Lines, Masks and Plenty of Fear","Wisconsin’s primary showed an electoral system stretched to the breaking point by the coronavirus crisis, as people weighed the health risks against their desire to vote.",https://www.nytimes.com/2020/04/07/us/politics/wisconsin-election-coronavirus.html,"Wed, 08 Apr 2020 02:35:24 +0000"
What if the Most Important Election of Our Lifetimes Was the Last One?,"Wisconsin voters may have risked their health to make it to the polls in a pandemic. But lately, it’s feeling as though 2016, not 2020, remains the most pivotal political moment.",https://www.nytimes.com/2020/04/07/us/politics/2020-vs-2016-election.html,"Tue, 07 Apr 2020 23:22:44 +0000"
Why Wisconsin Republicans Insisted on an Election in a Pandemic,Mask-wearing voters in endless lines. Five polling places instead of 180. Voting amid the coronavirus crisis is full of challenges — and connected to G.O.P. efforts to limit who gets a ballot in the state.,https://www.nytimes.com/2020/04/07/us/politics/wisconsin-pandemic-primary-republicans.html,"Tue, 07 Apr 2020 21:51:42 +0000"
"China Ends Wuhan Coronavirus Lockdown, but Normal Life is a Distant Dream","In the city where the coronavirus outbreak was first reported, the reopening of outbound travel won’t end hard times, wariness or confinement.",https://www.nytimes.com/2020/04/07/world/asia/wuhan-coronavirus.html,"Wed, 08 Apr 2020 04:31:57 +0000"
Japan Declared a Coronavirus Emergency. Is It Too Late?,Some medical experts said the move amounted to a tacit admission that the approach the country had adopted for months was no longer working.,https://www.nytimes.com/2020/04/07/world/asia/japan-coronavirus-emergency.html,"Tue, 07 Apr 2020 18:04:47 +0000"
"China Investigates Ren Zhiqiang, Critic of Xi’s Coronavirus Response","The decision to investigate the tycoon, Ren Zhiqiang, reflects broad unease in the government about growing criticism of its early efforts to conceal the outbreak.",https://www.nytimes.com/2020/04/07/world/asia/china-tycoon-coronavirus.html,"Wed, 08 Apr 2020 02:37:35 +0000"
"John Prine, Who Chronicled the Human Condition in Song, Dies at 73","A folk singer and songwriter with a raspy voice and an offbeat humor, he was revered by his peers, including Bob Dylan.",https://www.nytimes.com/2020/04/07/arts/music/john-prine-dead.html,"Wed, 08 Apr 2020 04:57:48 +0000"
"Albert Petrocelli, Fire Chief Who Lost a Son on 9/11, Dies at 73",He and a firefighter son answered the call when terrorists attacked the World Trade Center; another son died there. Mr. Petrocelli had the novel coronavirus.,https://www.nytimes.com/2020/04/07/obituaries/albert-petrocelli-dead-coronavirus.html,"Tue, 07 Apr 2020 15:44:16 +0000"
Those We’ve Lost to the Coronavirus,This series tells the stories of people who have died in the pandemic.,https://www.nytimes.com/series/people-died-coronavirus-obituaries,"Wed, 08 Apr 2020 04:37:41 +0000"
‘I Just Need the Comfort’: Processed Foods Make a Pandemic Comeback,"Shoppers, moved by nostalgia and hunting for longer shelf lives, are returning to old standbys like Chef Boyardee and Campbell’s soup.",https://www.nytimes.com/2020/04/07/business/coronavirus-processed-foods.html,"Tue, 07 Apr 2020 19:20:19 +0000"
How the Four Seasons in N.Y.C. Became a Dorm for Hospital Workers,The Four Seasons reinvented itself in a matter of days.,https://www.nytimes.com/2020/04/07/nyregion/coronavirus-four-seasons-hotel-new-york.html,"Wed, 08 Apr 2020 00:57:14 +0000"
"Coronavirus, Wisconsin, Pandas: Your Tuesday Evening Briefing",Here’s what you need to know at the end of the day.,https://www.nytimes.com/2020/04/07/briefing/coronavirus-wisconsin-pandas.html,"Tue, 07 Apr 2020 22:32:00 +0000"
Wisconsin’s Pandemic Primary,"Voters are facing a choice even before they see the ballot: whether to protect their health, or to exercise their civic duty.",https://www.nytimes.com/2020/04/07/podcasts/the-daily/coronavirus-voting-wisconsin-primary.html,"Tue, 07 Apr 2020 18:00:18 +0000"
"Passover Goes On, With Screens",Religious families lean on technology this month to recreate disrupted rituals.,https://www.nytimes.com/2020/04/07/technology/passover-coronavirus.html,"Tue, 07 Apr 2020 20:36:37 +0000"
Delicious Vinyl,We examine when culture from our past — like the 20-year-old comedy “High Fidelity” — gets reborn … as “High Fidelity.”,https://www.nytimes.com/2020/04/02/podcasts/high-fidelity-zoe-kravitz.html,"Fri, 03 Apr 2020 10:03:36 +0000"
Drop the Curtain on the Trump Follies,"Why does the nation need to be subjected to the president’s daily carnival of misinformation, preening and political venom?",https://www.nytimes.com/2020/04/07/opinion/trump-coronavirus-press-conference.html,"Tue, 07 Apr 2020 23:00:06 +0000"
Privacy Cannot Be a Casualty of the Coronavirus,Many Americans now rely on digital tools to work remotely and stay connected. They shouldn’t have to sacrifice their privacy to use them.,https://www.nytimes.com/2020/04/07/opinion/digital-privacy-coronavirus.html,"Tue, 07 Apr 2020 22:00:41 +0000"
The Pandemic’s Missing Data,We desperately need to release the statistics on race and ethnicity.,https://www.nytimes.com/2020/04/07/opinion/coronavirus-blacks.html,"Wed, 08 Apr 2020 01:18:33 +0000"
"For Coronavirus, Trump Is Not the Wartime President We Need",He should start leading with the decency and resolve that we deserve. I’m not holding my breath.,https://www.nytimes.com/2020/04/07/opinion/trump-coronavirus-us.html,"Tue, 07 Apr 2020 22:39:21 +0000"
