title,description,NYTpolarity,NYTsubjectivity
Florida Records Nation’s One-Day Peak for New Virus Cases,"The state recorded 15,300 new coronavirus cases on Sunday, easily passing the previous one-day high of 12,274 set at the height of the outbreak in New York in April.",0,0
"Coronavirus Live Updates: Florida Tops U.S. Record With Over 15,000 New Cases","Florida set a single-day U.S. record with over 15,000 new cases. Education Secretary Betsy DeVos pushes for U.S. schools to reopen.",0.136363636,0.454545455
Pittsburgh Seemed Like a Virus Success Story. Now Cases Are Surging.,"Pittsburgh, a sister city to Wuhan, China, saw only modest cases for months. In the last two weeks, cases are suddenly soaring.",0.136363636,0.477272727
"Fracking Firms Fail, Rewarding Executives and Raising Climate Fears","Oil and gas companies are hurtling toward bankruptcy, raising fears that wells will be left leaking planet-warming pollutants, with cleanup cost left to taxpayers.",0.3,0
What Donald Trump’s ‘Access Hollywood’ Weekend Says About 2020,"On a Friday, the world heard vulgar audio of Mr. Trump boasting about forcing himself on women. By Sunday night, the episode that was supposed to doom him had begun to recede.",0,0.65
Ja’Ron Smith’s Balancing Act: A Black Republican Navigates the Trump White House,"As a congressional staff member, Mr. Smith once wore a hoodie in a demonstration on Capitol Hill protesting the death of Trayvon Martin. Now President Trump calls him “my star.”",0,0
Trump vs. the Women Who Lead Michigan: A Battle With 2020 Implications,"The president has picked fights with Michigan’s governor, attorney general and secretary of state over voting rights and the coronavirus. They haven’t backed down.",-0.083333333,0.216666667
Alabama Senate Race: Sessions Faces Voters After Years of Trump Scorn,"Tuesday’s runoff election for Senate may finally settle Jeff Sessions’ yearslong standoff with President Trump, as Republicans referee between a native son and a president they admire.",0,0
"While America Looks Away, Autocrats Crack Down on Digital News Sites","Independent journalism is on the defensive, from Hungary to Malaysia.",0,0
The Sunday Read: ‘The Decameron Project’,"A series of short stories written in this moment, for this moment.",-0.077777778,0.144444444
Sports in a Pandemic Don’t All Stink,Virtual cycling offers lessons for how other sports can appeal to fans leading increasingly digital lives.,0,0
David Mitchell’s Vast and Tangled Universe,"Daniel Mendelsohn discusses Mitchell’s career and new novel, “Utopia Avenue,” and Maria Konnikova talks about “The Biggest Bluff.”",0,0
"American Horror, Starring Donald Trump","The coronavirus pandemic is spiraling out of control, largely because of the president himself.",0,1
